Direction,Name,Off/Peak,Preference,Toll1,Toll2,Toll3,Toll4,TollTotal,GoogleMapsLink
ToWork,116-GSP-153,,99, $-   , $2.25 ,,, $2.25 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3879004,-74.1658009,13.54z/data=!4m29!4m28!1m20!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1851561!2d40.3833325!3s0x89c232e30cd810cf:0x7b92e45bfb411d79!3m4!1m2!1d-74.1626381!2d40.8410759!3s0x89c2ff0ce653c995:0x2cb839cf9de1b961!3m4!1m2!1d-74.135497!2d40.8278745!3s0x89c2ff4f8e9b46c9:0x8caef042cfb100dc!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,114-GSP-153,,97, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3776572,-74.1440167,15.29z/data=!4m29!4m28!1m20!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1456679!2d40.3754147!3s0x89c232366a5f9363:0x9dacf1b95994851!3m4!1m2!1d-74.1626381!2d40.8410759!3s0x89c2ff0ce653c995:0x2cb839cf9de1b961!3m4!1m2!1d-74.135497!2d40.8278745!3s0x89c2ff4f8e9b46c9:0x8caef042cfb100dc!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,109-GSP-153,,95, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3487312,-74.1161171,14.04z/data=!4m29!4m28!1m20!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1005616!2d40.3367537!3s0x89c231dfdc229de7:0x86f1dff645b2b34a!3m4!1m2!1d-74.1626381!2d40.8410759!3s0x89c2ff0ce653c995:0x2cb839cf9de1b961!3m4!1m2!1d-74.135497!2d40.8278745!3s0x89c2ff4f8e9b46c9:0x8caef042cfb100dc!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,116-GSP-150,,93,, $2.25 ,,, $2.25 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3751796,-74.1605608,14.04z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1853198!2d40.3833995!3s0x89c232e30cd810cf:0x7b92e45bfb411d79!3m4!1m2!1d-74.1820088!2d40.8079898!3s0x89c25571f0b134d3:0xc1e9d9d64daecd8c!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,114-GSP-150,,91, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3671743,-74.1360037,15.04z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1456679!2d40.3754147!3s0x89c232366a5f9363:0x9dacf1b95994851!3m4!1m2!1d-74.1820088!2d40.8079898!3s0x89c25571f0b134d3:0xc1e9d9d64daecd8c!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,109-GSP-150,,89, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.8140992,-74.1758353,14.54z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1005616!2d40.3367537!3s0x89c231dfdc229de7:0x86f1dff645b2b34a!3m4!1m2!1d-74.1820088!2d40.8079898!3s0x89c25571f0b134d3:0xc1e9d9d64daecd8c!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,116-GSP-145,,87,, $2.25 ,,, $2.25 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.5094147,-74.1431236,11.21z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1853198!2d40.3833995!3s0x89c232e30cd810cf:0x7b92e45bfb411d79!3m4!1m2!1d-74.2045161!2d40.7573183!3s0x89c254bac870ad69:0x2cc2cdf2a116cb9e!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,114-GSP-145,,85, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.371516,-74.1471166,14.96z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1459202!2d40.3752609!3s0x89c232363fa2128d:0xc16adf67e743881c!3m4!1m2!1d-74.2045161!2d40.7573183!3s0x89c254bac870ad69:0x2cc2cdf2a116cb9e!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,109-GSP-145,,83, $0.79 , $2.25 ,,, $3.04 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.341109,-74.1177733,14.96z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.0992661!2d40.3367635!3s0x89c231dfdcaf5001:0xd18d7a7256709f23!3m4!1m2!1d-74.2045161!2d40.7573183!3s0x89c254bac870ad69:0x2cc2cdf2a116cb9e!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,116-TP,Off-Peak,81,, $6.10 ,,, $6.10 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.6403717,-74.1779505,11.92z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1841469!2d40.3829222!3s0x89c232e3458dd4bf:0xe431208839eee2fe!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
